method,full_pair_distance,method_pair_distance
thumbnail,10,13
thumbnail,13,14
thumbnail,16,15
thumbnail,20,20
thumbnail,26,25
thumbnail,16,16
thumbnail,3,1
thumbnail,9,8
thumbnail,17,16
thumbnail,27,25
thumbnail,32,29
thumbnail,15,13
thumbnail,7,6
thumbnail,19,19
thumbnail,5,2
thumbnail,22,19
thumbnail,10,10
thumbnail,5,6
thumbnail,11,11
thumbnail,31,31
thumbnail,5,5
thumbnail,14,16
thumbnail,23,22
thumbnail,10,11
thumbnail,10,7
thumbnail,17,15
thumbnail,5,6
thumbnail,31,33
thumbnail,4,5
thumbnail,25,20
thumbnail,19,21
thumbnail,14,12
thumbnail,24,22
thumbnail,27,26
thumbnail,10,11
thumbnail,6,5
thumbnail,7,7
thumbnail,5,5
thumbnail,5,9
thumbnail,4,6
thumbnail,9,8
thumbnail,8,9
thumbnail,7,7
thumbnail,8,7
thumbnail,19,17
thumbnail,34,37
thumbnail,5,5
thumbnail,7,9
thumbnail,19,16
thumbnail,21,18
thumbnail,4,3
thumbnail,5,5
thumbnail,7,5
thumbnail,3,1
thumbnail,3,0
thumbnail,9,9
thumbnail,12,10
thumbnail,8,4
thumbnail,2,1
thumbnail,26,28
thumbnail,6,7
thumbnail,20,16
thumbnail,5,5
thumbnail,30,30
thumbnail,26,27
thumbnail,15,14
thumbnail,3,3
thumbnail,10,9
thumbnail,34,32
thumbnail,21,23
thumbnail,18,20
thumbnail,26,23
thumbnail,28,28
thumbnail,17,14
thumbnail,25,27
thumbnail,21,19
thumbnail,33,34
thumbnail,12,14
thumbnail,14,13
thumbnail,12,13
thumbnail,11,11
thumbnail,4,6
thumbnail,29,29
thumbnail,29,28
thumbnail,12,9
thumbnail,23,22
thumbnail,33,32
thumbnail,31,29
thumbnail,10,12
thumbnail,6,7
thumbnail,14,14
thumbnail,16,17
thumbnail,25,25
thumbnail,17,19
thumbnail,38,37
thumbnail,37,38
thumbnail,5,3
thumbnail,27,26
thumbnail,11,12
scaled,10,12
scaled,13,16
scaled,16,16
scaled,20,21
scaled,26,25
scaled,16,14
scaled,3,2
scaled,9,10
scaled,17,17
scaled,27,26
scaled,32,31
scaled,15,14
scaled,7,7
scaled,19,20
scaled,5,4
scaled,22,21
scaled,10,11
scaled,5,7
scaled,11,10
scaled,31,31
scaled,5,5
scaled,14,14
scaled,23,24
scaled,10,9
scaled,10,9
scaled,17,18
scaled,5,6
scaled,31,32
scaled,4,6
scaled,25,23
scaled,19,20
scaled,14,14
scaled,24,23
scaled,27,26
scaled,10,11
scaled,6,6
scaled,7,6
scaled,5,7
scaled,5,6
scaled,4,6
scaled,9,9
scaled,8,9
scaled,7,8
scaled,8,8
scaled,19,19
scaled,34,32
scaled,5,5
scaled,7,7
scaled,19,17
scaled,21,17
scaled,4,3
scaled,5,5
scaled,7,6
scaled,3,1
scaled,3,3
scaled,9,10
scaled,12,10
scaled,8,6
scaled,2,3
scaled,26,26
scaled,6,6
scaled,20,16
scaled,5,5
scaled,30,30
scaled,26,27
scaled,15,17
scaled,3,4
scaled,10,9
scaled,34,33
scaled,21,19
scaled,18,19
scaled,26,25
scaled,28,27
scaled,17,17
scaled,25,26
scaled,21,21
scaled,33,34
scaled,12,12
scaled,14,15
scaled,12,13
scaled,11,12
scaled,4,5
scaled,29,29
scaled,29,30
scaled,12,12
scaled,23,21
scaled,33,30
scaled,31,29
scaled,10,12
scaled,6,5
scaled,14,14
scaled,16,16
scaled,25,25
scaled,17,19
scaled,38,37
scaled,37,38
scaled,5,3
scaled,27,27
scaled,11,11
fast_resize,10,10
fast_resize,13,13
fast_resize,16,18
fast_resize,20,22
fast_resize,26,32
fast_resize,16,15
fast_resize,3,5
fast_resize,9,6
fast_resize,17,15
fast_resize,27,25
fast_resize,32,29
fast_resize,15,15
fast_resize,7,8
fast_resize,19,26
fast_resize,5,6
fast_resize,22,23
fast_resize,10,14
fast_resize,5,8
fast_resize,11,18
fast_resize,31,28
fast_resize,5,8
fast_resize,14,12
fast_resize,23,24
fast_resize,10,15
fast_resize,10,8
fast_resize,17,17
fast_resize,5,9
fast_resize,31,29
fast_resize,4,6
fast_resize,25,25
fast_resize,19,22
fast_resize,14,22
fast_resize,24,22
fast_resize,27,25
fast_resize,10,9
fast_resize,6,7
fast_resize,7,10
fast_resize,5,12
fast_resize,5,6
fast_resize,4,11
fast_resize,9,11
fast_resize,8,10
fast_resize,7,12
fast_resize,8,4
fast_resize,19,20
fast_resize,34,32
fast_resize,5,1
fast_resize,7,17
fast_resize,19,17
fast_resize,21,20
fast_resize,4,6
fast_resize,5,6
fast_resize,7,10
fast_resize,3,7
fast_resize,3,9
fast_resize,9,16
fast_resize,12,14
fast_resize,8,6
fast_resize,2,3
fast_resize,26,32
fast_resize,6,12
fast_resize,20,20
fast_resize,5,6
fast_resize,30,34
fast_resize,26,27
fast_resize,15,17
fast_resize,3,8
fast_resize,10,5
fast_resize,34,30
fast_resize,21,25
fast_resize,18,24
fast_resize,26,29
fast_resize,28,33
fast_resize,17,18
fast_resize,25,32
fast_resize,21,32
fast_resize,33,34
fast_resize,12,20
fast_resize,14,21
fast_resize,12,15
fast_resize,11,15
fast_resize,4,9
fast_resize,29,31
fast_resize,29,29
fast_resize,12,16
fast_resize,23,26
fast_resize,33,36
fast_resize,31,34
fast_resize,10,13
fast_resize,6,14
fast_resize,14,17
fast_resize,16,12
fast_resize,25,36
fast_resize,17,27
fast_resize,38,39
fast_resize,37,35
fast_resize,5,4
fast_resize,27,31
fast_resize,11,18
