path,result,full_hash,thumb_hash,scaled_hash,fast_resize_hash,full_ms,thumb_ms,scaled_ms,fast_resize_ms,thumb_hamming,scaled_hamming,fast_resize_hamming
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-19-32_632.jpeg,ok,9099d2da3f1f3b37,909bd2da1f1f3b3f,9099d2da371f3b37,b89bd3523b0f3b37,135.00,1.89,39.95,71.81,3,1,8
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-19-33_921.jpeg,ok,9199c34a1a0f3b17,9999cb4a1a0f3b17,9999c34a1a0f3b17,9199534a1a0f3b17,133.58,1.86,36.89,68.81,2,1,2
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-19-34_451.jpeg,ok,b09bd2de171f3b37,b09bdade171f3b37,b09bdade171f3b3f,b09ad3da170f7b33,135.69,1.95,39.12,71.26,1,2,6
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-19-35_174.jpeg,ok,9899cd5c1a0f3b13,9999cc5c1a0f3b13,9899cd5c1a0f3b13,9199445c1a0f3b36,135.86,1.92,38.74,70.64,2,0,8
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-19-36_188.jpeg,ok,b19893d2171f3b3f,b19893d2171f3b3f,b19893d217173b3f,309993d617177b1b,138.67,2.10,44.14,73.26,0,1,8
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-19-37_351.jpeg,ok,98c849684a0b3d1d,98c849680a0b3d1d,98d849680a0b3d1d,98cc49686a0b3d1d,138.03,2.06,40.96,72.74,1,2,2
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-19-47_823.jpeg,ok,99c94772131f3d1b,d9c94772131f3d1b,99c94772131b3d1f,99c9457212033d11,136.38,1.91,40.15,71.97,1,2,7
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-19-48_328.jpeg,ok,d9c94672131b3d1b,d9c94772131b3d1b,d9c94772131b3d1b,99c94572121b3d1a,132.53,1.76,47.55,68.48,1,1,5
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-19-48_863.jpeg,ok,99d94676361b3917,99d94672371b3917,99d94676361b3917,99d94676161b391a,134.07,1.70,39.83,71.90,2,0,4
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-19-49_473.jpeg,ok,d8c9697313033d1f,d8c9697313033d1b,d8c9697313033d1f,98c9697313033d1b,135.85,1.87,40.87,70.55,1,0,2
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-19-51_006.jpeg,ok,b19993c666273b3f,91999bc626273b3f,b1999bc666273b3f,b198934627273b3f,134.03,1.81,39.27,69.21,3,1,4
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-19-51_744.jpeg,ok,d84c696b130b1d1f,d84c696b130b1d1f,d84c696b130b1d1f,d84c696b330b1d0b,134.15,1.53,37.05,68.85,0,0,3
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-19-52_685.jpeg,ok,d9c96072531b3d18,d8496072531b3d18,d9496072531b3d18,d9494062571b3d19,134.20,1.56,37.40,70.17,2,1,5
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-19-53_907.jpeg,ok,d8496172031b3d1b,d8496173031b3d1b,d8496173031b3d1b,d84d6162132b3d19,133.96,1.59,38.13,70.39,1,1,6
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-04_286.jpeg,ok,90995f3212173b3f,90995f3212173b1f,90995f3212173b3f,b199567012163b0f,132.78,1.59,37.59,69.18,1,0,9
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-04_730.jpeg,ok,b1995b7212173b1f,90995b7212173b1f,b0995b7212173b1f,b1995f3213173b0f,134.28,1.56,38.22,70.37,2,1,4
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-05_965.jpeg,ok,98c84d59591b1d1f,98c84d59191b1d1f,98c84d59591b1d1f,98c84d597d0b3d0f,130.17,1.55,34.47,67.02,1,0,5
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-06_709.jpeg,ok,c84c2d491d0b1d1f,c84c2d091d0b1d1f,c84c2d091d0b1d1f,c84c2949150b1d03,131.59,1.49,34.85,67.09,1,1,5
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-07_232.jpeg,ok,d84c4d59190b1d1f,d84c4d59190b1d1f,d84c4d58190b1d1f,d84c2d481d0b3d15,133.01,1.92,38.11,70.41,0,1,8
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-07_991.jpeg,ok,98d94d5818133f1f,98d94d5818133f1f,98d94d5818133f1f,98d94d5858123f0f,135.44,1.62,39.17,71.07,0,0,3
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-10_638.jpeg,ok,0019a99b8f8e908f,0019a99b8f8e908f,0019a99b8f8e908f,0019a9998d8e908f,139.69,1.98,43.13,75.34,0,0,2
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-11_036.jpeg,ok,0019399b8d8cb08f,001939998d8c908f,0019399b8d8cb08f,001d299f9daeb08b,136.40,1.66,41.37,73.87,2,0,7
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-11_604.jpeg,ok,020323170d85b08b,020323178f85b08b,000323170f85b08b,021723179587b48b,137.63,1.94,40.95,73.40,2,2,7
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-14_157.jpeg,ok,125217361e96c2c0,125317371e96c2e0,125217361e9ec2c0,13561d371c969244,131.73,1.63,34.21,66.62,3,1,10
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-15_057.jpeg,ok,37b317361e1e82c0,379217361e1e82c0,37b317361e1e82c0,27b75f361e16b2c0,130.11,1.45,34.83,67.26,2,0,7
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-16_016.jpeg,ok,24b051321c1e82c0,35b055321c1e82c0,34b051321c1e82c0,25b155321c96b2c0,130.69,1.83,34.14,66.73,3,1,7
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-17_059.jpeg,ok,2fa53f363e3e22c0,2fa53f363e3ea2c0,2fa53f363e3ea6c0,2da53f762e3ea6c0,131.60,1.46,35.61,67.63,1,2,5
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-19_022.jpeg,ok,2da53736363eb2c0,2da57732363eb2c0,2da53732363eb2c0,3da557323e3eb2c0,132.46,1.52,36.09,68.57,2,1,5
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-29_629.jpeg,ok,d11313151d1d1551,d11313151d1d1551,d11313151d1d1551,d51317151d1d5551,113.61,1.46,33.61,65.62,0,0,3
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-31_051.jpeg,ok,511313151d1c1411,511313151d1c1611,511313151d1c1e11,513313151d1d5651,112.85,1.45,39.49,65.48,1,2,5
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-33_771.jpeg,ok,6209190a0e0e0e02,62091b1a0e1e0e12,6209190a0e0e0e02,6a490d0a0f1c0611,113.78,1.51,37.08,66.56,4,0,11
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-34_703.jpeg,ok,7117111b1c1c1220,711311171c1c1221,7117111f1c1c1220,712e11130c1e1221,113.79,1.47,35.16,66.87,4,1,8
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-37_797.jpeg,ok,51131715151c1c10,51131715151c1c10,51531715151c1c10,51333715171c4e51,113.67,1.45,34.33,65.34,0,1,8
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-40_428.jpeg,ok,573437273e363f37,5335372f3c363f37,533537273e363f37,5735372f2e343f37,111.40,1.43,32.57,64.18,4,2,4
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-42_527.jpeg,ok,1613171b1c006160,1613131b1c006160,1613171b1c002160,1233171b1c446128,113.84,1.49,34.42,66.38,1,1,6
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-43_265.jpeg,ok,720f131b1c142160,720f171b18142160,720f131f1d142160,522b171f1d540120,115.39,1.48,35.32,67.18,2,2,9
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-44_531.jpeg,ok,720f17171d142121,720f17171d142120,520f17171d1c2121,560b131b1d141121,122.35,1.69,35.73,68.88,1,2,8
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-45_813.jpeg,ok,521317171d1c0021,521717171d1c0021,521317151d1c0021,56171315191c1221,116.89,1.56,36.51,68.53,1,1,7
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-46_799.jpeg,ok,42171717191c0161,c2171717191c0161,42071717191c0161,c21d1717195c5161,115.44,1.56,35.51,67.45,1,1,6
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-47_676.jpeg,ok,6217271f181c0161,e20f271b181c0160,6207271b181c0161,c20d271f19544161,115.22,1.52,35.19,67.44,5,2,9
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-48_898.jpeg,ok,621f3717191c0161,621f3717181c0161,621f3717191c0161,561b3717195c1161,115.10,1.52,35.41,67.75,1,0,6
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-49_871.jpeg,ok,6217132f18140160,6617172f18140160,4617172f181c0160,463b172f1d544160,114.48,1.55,35.23,67.17,2,4,10
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-51_283.jpeg,ok,1217130b1c142120,1217170b1c142120,1217170b1c142120,523317091d502120,114.85,1.83,35.38,67.73,1,1,8
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-52_527.jpeg,ok,5213171d1d142120,5213171d1d1c2120,5213151d1d140120,5617111d1d141121,114.84,1.57,34.50,66.82,1,2,7
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-53_282.jpeg,ok,521713171d1c1121,521713171d1c1121,521713171d1c1121,561313171d141121,114.91,1.53,34.60,67.28,0,0,3
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-20-57_506.jpeg,ok,7123130b0d0eb2b0,7123110f0d0e30b0,7123130b0d0eb2b0,7103130b0d0ea2b0,114.58,1.81,35.09,66.98,4,0,2
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-27-26_932.jpeg,ok,a1716f71773d1e9f,a1516f30773f9e9f,a1716f51773f1e9f,a1556f51572d9e17,135.89,1.59,41.79,73.75,5,2,8
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-27-27_299.jpeg,ok,a1716f31333d3e97,a1716f30333d1e9f,a1716f31373d1e97,a1556f51772d9e17,137.56,2.18,42.19,74.09,3,2,10
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-27-27_769.jpeg,ok,a1716b71773d3e36,a1716b71773d3e16,a1f16b71773d3e16,a3f56a31333b3e2f,134.32,1.99,38.42,70.38,1,2,12
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-27-28_191.jpeg,ok,22a34a31357b3c1f,22a36b3135793c3f,22a36a31357b3c3f,42a26a33757b3c37,136.86,1.76,41.53,73.76,4,2,8
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-27-28_797.jpeg,ok,2da1717f517f3d3e,2da1717f517f3c3e,2fa1717f517f3c3e,0fa1736f516b3d1e,142.56,1.91,47.67,79.13,1,2,7
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-27-29_426.jpeg,ok,2da1617b513f3c3e,2da1617b513f3c3e,2fa1617b513f3c3e,0fb1633f512b3d3e,141.98,1.78,45.94,77.07,0,1,9
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-27-30_190.jpeg,ok,0fa16373713f3c3e,2fa16377713f3c3e,0fa16377713f3c3e,0fa16377552f7d3e,139.06,1.70,43.16,74.78,2,1,6
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-27-30_923.jpeg,ok,2fa1716f713f3d3e,2fa1716f713f3d3e,2fa1716f713f3d3e,0fa1516f513b3d1e,138.95,2.02,41.95,72.97,0,0,5
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-27-31_492.jpeg,ok,2fa1716f313f391e,2fa1716f313f3d3e,2fa1716f713f393e,0fa1712f312f391e,138.85,2.21,42.78,74.56,2,2,3
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-27-32_120.jpeg,ok,2fa1716f313b3d3e,2fa1716f313f3d3e,2fa1716f313b3d3e,afa1516f711b291e,138.32,1.83,43.00,74.88,1,0,7
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-27-32_884.jpeg,ok,25a16373313b3c1e,21a16173313f3c1e,21a16373313f3c3e,0fb16b37313f3d3e,137.64,1.71,42.67,74.12,3,3,10
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-27-33_515.jpeg,ok,afa17167712f3d3e,afb17177312f3d3e,afa17167312f3d3e,afa15167712b391e,140.14,1.75,43.50,74.89,3,1,4
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-27-34_227.jpeg,ok,afb17135302f3d9e,afb17137302f3d9e,afb1717d302f3dbe,afe1516f702f3d9e,138.49,1.80,43.15,74.86,1,3,8
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-27-34_753.jpeg,ok,afb1713f302f3d9e,afb1713f302f3d9e,afb1713f302f3d9e,afa1516f702b399e,138.12,1.81,44.32,74.65,0,0,7
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-27-35_859.jpeg,ok,d03035383f3c9f8f,d03037383f3c9f8b,d03035383f3c9f9b,d0333538173d9f97,138.15,1.67,43.74,73.78,2,2,7
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-27-36_483.jpeg,ok,90303538371d9f97,d0b03538171d9f8f,d0303538171d9f8f,915ab518172d9e8f,135.81,1.62,42.32,72.80,5,4,13
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-27-37_196.jpeg,ok,d0a89698179ecfcb,d8a89698179ecfcb,d0a89698179ecfcb,d0a8b7b8b79ccf8b,135.13,1.62,39.83,71.32,1,0,7
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-27-38_034.jpeg,ok,d0b8b698179e9f8b,d0b8b698179e9fcb,d0b8b698179e9f8b,d0a8b7b8b59d8b87,134.47,1.53,38.72,69.99,1,0,12
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-27-39_132.jpeg,ok,342c0d0e050f2721,342c0d0e050f2723,342c0d0e050f2721,34362d06050b2722,136.07,1.56,39.52,71.73,1,0,8
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-27-40_177.jpeg,ok,685c5a5c0e4e4f45,685c5a5c0b4e4f45,685c5a5c0a4e4f45,68554a4c0b4e4743,136.38,1.56,36.49,68.18,2,1,9
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-27-41_128.jpeg,ok,c8281a0c1d1e4f47,48281a0c1d1e4f47,c8281a0c1d1e4f43,48291a0419164f47,133.97,1.59,38.66,70.57,1,1,5
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-27-41_942.jpeg,ok,c8a89a0c1d1e4f4f,c8a81a0c1d1e4f4f,c8a89a0c1d1e4f4f,c8a81a0c191f4f4d,135.11,1.57,39.08,70.58,1,0,4
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-27-42_894.jpeg,ok,48681a14180e4f47,48581a14181e4f4f,48681a14181e4f47,482c1a04181f4f4d,141.62,1.89,47.89,79.36,4,1,7
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-27-50_313.jpeg,ok,adb1716f591f3c9f,adb1716f591f3c9f,adb1716f591f3c9f,afa1516f591f3caf,138.62,1.62,40.84,72.66,0,0,5
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-27-51_437.jpeg,ok,97d03035380d9e9f,96d0b0b7380d9e9f,97d03037390d9e9f,27d0b8b7388d9e8f,138.64,1.62,41.61,73.62,4,2,9
