path,format,width,height,bytes,exif_ms,full_decode_ms,full_resize_hash_ms,full_decode_result,captured_at_source,fast_hash_ms,decode_source,fast_hash_result
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-19-32_632.jpeg,jpeg,3024,4032,3025885,0.14,56.75,76.02,ok,exif_original,1.15,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-19-33_921.jpeg,jpeg,3024,4032,2824120,0.15,54.61,75.56,ok,exif_original,1.13,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-19-34_451.jpeg,jpeg,3024,4032,3068474,0.20,56.17,75.71,ok,exif_original,1.12,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-19-35_174.jpeg,jpeg,3024,4032,2972901,0.15,55.68,75.11,ok,exif_original,1.12,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-19-36_188.jpeg,jpeg,3024,4032,3285843,0.15,58.67,75.44,ok,exif_original,1.14,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-19-37_351.jpeg,jpeg,3024,4032,3183623,0.14,57.88,77.30,ok,exif_original,1.19,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-19-47_823.jpeg,jpeg,3024,4032,3123703,0.13,57.20,75.30,ok,exif_original,1.17,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-19-48_328.jpeg,jpeg,3024,4032,2740618,0.14,53.42,75.30,ok,exif_original,1.12,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-19-48_863.jpeg,jpeg,3024,4032,3048271,0.13,56.56,75.48,ok,exif_original,1.17,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-19-49_473.jpeg,jpeg,3024,4032,2967771,0.13,56.10,75.84,ok,exif_original,1.18,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-19-51_006.jpeg,jpeg,3024,4032,2865955,0.14,54.48,75.06,ok,exif_original,1.21,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-19-51_744.jpeg,jpeg,3024,4032,2813942,0.14,53.95,75.19,ok,exif_original,1.18,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-19-52_685.jpeg,jpeg,3024,4032,2870067,0.15,54.70,75.89,ok,exif_original,1.18,exif_thumbnail,ok
