label,phase,ms,share_pct,photos
real-cold,walkdir,0.5,0.08,271
real-cold,scan_fingerprint,11.5,1.67,271
real-cold,scan_db,25.8,3.75,271
real-cold,exif,18.9,2.75,271
real-cold,metadata_db,4.2,0.61,271
real-cold,hash_fingerprint,15.6,2.27,271
real-cold,decode_hash,601.6,87.56,271
real-cold,hash_db,8.8,1.28,271
real-cold,groups_query,0.2,0.03,271
real-cold,groups_build,0.1,0.01,271
real-warm,walkdir,0.5,0.85,271
real-warm,scan_fingerprint,11.8,19.89,271
real-warm,scan_db,27.5,46.47,271
real-warm,exif,0.0,0.00,271
real-warm,metadata_db,0.0,0.00,271
real-warm,hash_fingerprint,9.0,15.14,271
real-warm,decode_hash,10.2,17.13,271
real-warm,hash_db,0.0,0.02,271
real-warm,groups_query,0.2,0.40,271
real-warm,groups_build,0.1,0.10,271
