label,phase,ms,share_pct,photos
synth1000-cold,walkdir,1.7,0.62,1000
synth1000-cold,scan_fingerprint,46.9,17.18,1000
synth1000-cold,scan_db,95.3,34.91,1000
synth1000-cold,exif,111.1,40.69,1000
synth1000-cold,metadata_db,17.8,6.54,1000
synth1000-cold,hash_fingerprint,0.0,0.00,1000
synth1000-cold,decode_hash,0.0,0.00,1000
synth1000-cold,hash_db,0.0,0.00,1000
synth1000-cold,groups_query,0.1,0.05,1000
synth1000-cold,groups_build,0.0,0.00,1000
synth1000-warm,walkdir,1.6,1.08,1000
synth1000-warm,scan_fingerprint,47.4,31.94,1000
synth1000-warm,scan_db,99.2,66.88,1000
synth1000-warm,exif,0.0,0.00,1000
synth1000-warm,metadata_db,0.0,0.00,1000
synth1000-warm,hash_fingerprint,0.0,0.00,1000
synth1000-warm,decode_hash,0.0,0.00,1000
synth1000-warm,hash_db,0.0,0.00,1000
synth1000-warm,groups_query,0.1,0.09,1000
synth1000-warm,groups_build,0.0,0.00,1000
synth5000-cold,walkdir,7.8,0.56,5000
synth5000-cold,scan_fingerprint,231.2,16.77,5000
synth5000-cold,scan_db,477.3,34.63,5000
synth5000-cold,exif,540.7,39.23,5000
synth5000-cold,metadata_db,120.7,8.76,5000
synth5000-cold,hash_fingerprint,0.0,0.00,5000
synth5000-cold,decode_hash,0.0,0.00,5000
synth5000-cold,hash_db,0.0,0.00,5000
synth5000-cold,groups_query,0.7,0.05,5000
synth5000-cold,groups_build,0.0,0.00,5000
synth5000-warm,walkdir,7.5,0.98,5000
synth5000-warm,scan_fingerprint,231.1,30.07,5000
synth5000-warm,scan_db,529.4,68.87,5000
synth5000-warm,exif,0.0,0.00,5000
synth5000-warm,metadata_db,0.0,0.00,5000
synth5000-warm,hash_fingerprint,0.0,0.00,5000
synth5000-warm,decode_hash,0.0,0.00,5000
synth5000-warm,hash_db,0.0,0.00,5000
synth5000-warm,groups_query,0.6,0.08,5000
synth5000-warm,groups_build,0.0,0.00,5000
